Name;Gewicht ;Datum;Supermarkt;Verpackung;Kisten;Erzeuger;GGN;GLN;Haendler
Kopfsalat;506,87;28.05.2018;Edeka;Stueck;6;NA;NA;4,26E+13;Fruvital GmbH
Kopfsalat;600,5;28.05.2018;Netto rot;Stueck;NA;NA;NA;NA;NA
Kopfsalat;547,96;28.05.2018;Netto rot;Stueck;NA;NA;NA;NA;NA
Kopfsalat;743,49;28.05.2018;Netto rot;Stueck;NA;NA;NA;NA;NA
Kopfsalat;548,39;28.05.2018;Netto rot;Stueck;NA;NA;NA;NA;NA
Kopfsalat;508,52;28.05.2018;Netto rot;Stueck;NA;NA;NA;NA;NA
Kopfsalat;439,19;28.05.2018;Penny;Stueck;NA;NA;NA;NA;NA
Kopfsalat;414,77;28.05.2018;Penny;Stueck;NA;NA;NA;NA;NA
Kopfsalat;373,28;28.05.2018;Penny;Stueck;NA;NA;NA;NA;NA
Kopfsalat;410,73;28.05.2018;Penny;Stueck;NA;NA;NA;NA;NA
Kopfsalat;523,32;28.05.2018;Penny;Stueck;NA;NA;NA;NA;NA
Radieschen;331;16.08.2018;ALDI;Bund;15;NA;NA;4,25E+12;Boerdegarten Gemueuese
Radieschen;452,6;16.08.2018;ALDI;Bund;15;NA;NA;4,25E+12;Boerdegarten Gemueuese
Radieschen;440,9;16.08.2018;ALDI;Bund;15;NA;NA;4,25E+12;Boerdegarten Gemueuese
Radieschen;337,9;16.08.2018;ALDI;Bund;15;NA;NA;4,25E+12;Boerdegarten Gemueuese
Radieschen;401;16.08.2018;ALDI;Bund;15;NA;NA;4,25E+12;Boerdegarten Gemueuese
Radieschen;440,5;16.08.2018;Netto schwarz;Bund;8;Maehlmann Gemuesebau;4,05E+12;NA;ELO (Erzeugergrossmarkt Langfoerden-Oldenburg)
Radieschen;439,3;16.08.2018;Netto schwarz;Bund;8;Maehlmann Gemuesebau;4,05E+12;NA;ELO (Erzeugergrossmarkt Langfoerden-Oldenburg)
Radieschen;333,4;16.08.2018;Netto schwarz;Bund;8;Maehlmann Gemuesebau;4,05E+12;NA;ELO (Erzeugergrossmarkt Langfoerden-Oldenburg)
Radieschen;441,7;16.08.2018;Netto schwarz;Bund;8;Maehlmann Gemuesebau;4,05E+12;NA;ELO (Erzeugergrossmarkt Langfoerden-Oldenburg)
Radieschen;406,1;16.08.2018;Netto schwarz;Bund;8;Maehlmann Gemuesebau;4,05E+12;NA;ELO (Erzeugergrossmarkt Langfoerden-Oldenburg)
Radieschen;407,8;16.08.2018;REWE;Bund;10;NA;4,05E+12;NA;Boerdegarten Gemueuese
Radieschen;376,3;16.08.2018;REWE;Bund;10;NA;4,05E+12;NA;Boerdegarten Gemueuese
Radieschen;343,3;16.08.2018;REWE;Bund;10;NA;4,05E+12;NA;Boerdegarten Gemueuese
Radieschen;491;16.08.2018;REWE;Bund;10;NA;4,05E+12;NA;Boerdegarten Gemueuese
Radieschen;336,2;16.08.2018;REWE;Bund;10;NA;4,05E+12;NA;Boerdegarten Gemueuese
Lollo Rosso;273,2;16.08.2018;Penny;Stueck;6;NA;NA;4,01E+12;BEHR AG 
Lollo Rosso;295,4;16.08.2018;Penny;Stueck;6;NA;NA;4,01E+12;BEHR AG 
Lollo Bionda;239;16.08.2018;Penny;Stueck;6;NA;NA;4,01E+12;BEHR AG 
Lollo Bionda;191,6;16.08.2018;Penny;Stueck;6;NA;NA;4,01E+12;BEHR AG 
